id,單字,组词,原註,罕度
772,非,非常,,0
774,肥,肥胖,,0
775,微,微小,,0
780,幾,幾個(几个),幾個,0
781,幾,幾乎(几乎),幾乎,0
782,鬼,魔鬼,,0
783,豈,豈能(岂能),,0
785,偉,偉大(伟大),,0
789,匪,土匪,,0
790,尾,尾巴,,0
794,溉,灌溉,,0
795,既,既然,,0
796,貴,珍貴(珍贵),,0
797,氣,天氣(天气),,0
799,毅,毅力,,0
803,慰,安慰,,0
808,畏,畏懼(畏惧),,0
809,胃,胃口,,0
812,彙,詞彙(词汇),,0
817,沸,沸騰(沸腾),,0
819,未,未來(未来),,0
820,味,味道,,0
822,蘆,蘆葦(芦苇),,0
824,驢,驢子(驴子),,0
825,且,而且,,0
830,徐,徐徐,,0
831,豬,豬肉(猪肉),,0
832,涂,涂鴉(涂鸦),,0
834,除,清除,,0
835,儲,儲蓄(储蓄),,0
836,屠,屠殺(屠杀),,0
837,著,顯著(显著),顯著,0
838,著,著衫,著衫,0
839,著,著涼(着凉),著涼,0
840,着,着急,,0
842,鋤,鋤頭(锄头),,0
843,疏,疏通,疏通,0
844,疏,註疏(注疏),註疏,0
845,蔬,蔬菜,,0
846,梳,梳理,,0
847,諸,諸多(诸多),,0
850,舒,舒適(舒适),,0
852,書,書籍(书籍),,0
853,如,如果,,0
855,車,車馬炮(车马炮),車馬炮,0
856,車,汽車(汽车),汽車,0
857,据,根据,,0
859,魚,魚類(鱼类),,0
860,漁,漁民(渔民),,0
862,虛,空虛(空虚),,0
865,於,關於(关于),,0
866,予,予,古代第一人稱,0
867,予,給予(给予),給予,0
868,餘,剩餘(剩余),,0
870,與,歟(欤),同「歟」,0
871,與,與(与),我與你,0
872,與,參與(参与),參與,0
873,譽,名譽(名誉),,0
874,余,余數(余数),,0
876,渠,渠道,,0
877,女,女兒(女儿),,0
878,旅,旅行,,0
882,嶼,島嶼(岛屿),島嶼,0
883,嶼,大嶼山(大屿山),大嶼山。山名,0
884,序,順序(顺序),,0
885,敘,敘述(叙述),,0
886,緒,情緒(情绪),,0
891,阻,阻止,,0
893,楚,清楚,,0
894,礎,基礎(基础),,0
895,所,所以,,0
897,處,處理(处理),處理,0
898,處,住處(住处),住處,0
900,野,野外,,0
901,鼠,老鼠,,0
902,暑,暑假,,0
906,舉,舉起(举起),,0
908,去,去年,,0
909,禦,防禦(防御),,0
910,語,語言(语言),語言,0
911,語,不以語人(不以语人),不以語人,0
912,許,允許(允许),,0
913,距,距離(距离),,0
914,巨,巨大,,0
916,鉅,鉅款(巨款),,0
917,拒,拒絕(拒绝),,0
918,慮,考慮(考虑),,0
919,絮,棉絮,,0
920,助,幫助(帮助),,0
923,薯,番薯,,0
927,據,根據(根据),,0
928,鋸,鋸子(锯子),,0
929,御,御用,,0
931,菸,香菸(香烟),,0
933,預,預計(预计),,0
935,都,都市,,0
936,圖,圖案(图案),,0
937,途,前途,,0
938,塗,塗改(涂改),,0
939,徒,徒弟,,0
944,奴,奴隸(奴隶),,0
947,爐,火爐(火炉),,0
948,租,出租,,0
949,蘇,蘇醒(苏醒),,0
952,辜,辜負(辜负),,0
954,孤,孤獨(孤独),,0
958,姑,姑姑,,0
959,枯,枯萎,,0
963,吳,吳國(吴国),,0
964,呼,呼吸,,0
965,糊,糊塗(糊涂),,0
967,胡,胡亂(胡乱),,0
969,壺,茶壺(茶壶),,0
970,湖,湖泊,,0
973,狐,狐狸,,0
974,乎,在乎,,0
975,嗚,嗚咽(呜咽),,0
976,烏,烏鴉(乌鸦),,0
977,惡,惡毒(恶毒),惡毒,0
978,惡,可惡(可恶),可惡,0
979,惡,惡乎(恶乎),惡乎,0
980,樸,樸素(朴素),,0
984,模,模糊,,0
985,摸,觸摸(触摸),,0
986,膜,薄膜,薄膜,0
987,膜,膜拜,膜拜,0
989,堵,堵塞,,0
990,賭,賭博(赌博),,0
991,土,土地,,0
992,吐,吐露,,0
993,肚,肚子,,0
994,杜,杜絕(杜绝),,0
995,努,努力,,0
996,怒,怒火,,0
999,虜,俘虜(俘虏),,0
1001,魯,魯莽(鲁莽),,0
1003,組,組織(组织),,0
1004,祖,祖先,,0
1005,粗,粗糙,,0
1007,鼓,鼓掌,,0
1008,估,估計(估计),估計,0
1009,估,估衣,估衣,0
1010,古,古代,,0
1011,股,股票,,0
1014,苦,辛苦,,0
1015,午,中午,,0
1016,五,五月,,0
1017,伍,隊伍(队伍),,0
1019,虎,老虎,,0
1024,戶,窗戶(窗户),,0
1028,譜,臉譜(脸谱),,0
