聲紐,呼,等,韻部,聲調,組,攝,單字,罕
溪,開,二,耕,入,見,梗,緙,2
溪,開,一,東,去,,通,倥,2
溪,開,一,東,平,見,通,箜,2
溪,開,一,模,去,見,遇,絝,2
溪,開,一,模,平,見,遇,挎,0
溪/溪/溪,開/合/合,一/二/二,模/麻/麻,去/平/去,,遇/假/假,胯,1
見,合,一,泰,去,見,蟹,儈,2
溪,合,二,夬,去,見,蟹,噲,2
見/見,合/合,一/二,泰/佳,去/去,,蟹/蟹,獪,2
溪,合,一,桓,平,,山,髖,2
溪,合,三,陽,平,見,宕,劻,2
見,合,一,唐,上,,宕,鄺,2
溪,合,一,唐,去,見,宕,壙,2
,,,,,,,巋,2
羣,合,三,脂B,平,,止,馗,2
,,,,,,,喹,2
疑,合,二,皆,去,見,蟹,聵,2
羣,合,三,脂B,去,,止,簣,2
溪,合,一,魂,平,,臻,堃,2
見,合,一,魂,平,見,臻,琨,2
溪,合,一,魂,平,見,臻,髡,2
,,,,,,,旯,2
來,開,三,侵A,入,來,深,砬,2
來/來,開/開,一/一,咍/咍,平/去,,蟹/蟹,崍,2
來,開,一,咍,平,,蟹,徠,2
來,開,一,咍,平,來,蟹,淶,2
來,開,一,咍,去,來,蟹,賚,2
來/來/來,開/開/開,一/一/一,寒/寒/寒,平/上/去,,山/山/山,讕,2
來,開,一,談,平,來,咸,襤,2
來,開,一,寒,去,來,山,鑭,2
,,,,,,,啷,2
來,開,一,唐,平,,宕,閬,2
來,開,一,唐,去,,宕,閬,2
來,開,一,豪,去,來,效,癆,2
來,開,一,豪,平,來,效,醪,2
來,開,三,脂A,平,來,止,蜊,2
來,開,四,齊,平,來,蟹,藜,2
來,開,三,之,上,來,止,俚,2
來,開,三,之,上,來,止,娌,2
來,開,四,齊,上,來,蟹,澧,2
來,開,三,祭A,去,來,蟹,癘,2
來,開,四,青,入,,梗,櫟,2
以,開,三,陽,入,,宕,櫟,2
來,開,四,齊,去,來,蟹,儷,2
來,開,四,青,入,來,梗,癧,2
來,開,三,脂A,去,,止,蒞,2
來,開,三,祭A,去,來,蟹,礪,2
來,開,四,魂,入,,山,唳,2
來,開,四,齊,去,,蟹,唳,2
,,,,,,,傈,2
來,開,三,真A,入,來,臻,溧,2
來,開,三,仙A,平,來,山,槤,2
來,開,四,添,平,來,咸,濂,2
來/來,開/開,三/三,鹽A/鹽A,上/去,,咸/咸,瀲,2
來,開,一,唐,平,來,宕,莨,2
來,開,四,蕭,上,,效,蓼,2
來,開,三,東,入,,通,蓼,2
來,開,三,陽,入,,宕,撂,2
,,,,,,,咧,1
來,開,一,覃,平,來,咸,啉,2
來,開,三,真A,平,來,臻,璘,2
來,開,四,青,平,來,梗,苓,2
來,開,四,青,平,來,梗,囹,2
來,開,四,青,平,來,梗,瓴,2
來,開,四,青,平,來,梗,櫺,2
來,開,四,青,平,來,梗,呤,2
來/來,開/開,三/三,幽/尤,平/平,,流/流,鏐,2
來,開,三,尤,上,來,流,綹,2
來/來,開/開,一/三,東/鍾,平/平,,通/通,蘢,2
來,開,一,東,平,來,通,櫳,2
來/來,開/開,一/一,東/東,平/去,,通/通,礱,2
,,,,,,,矓,2
來,開,一,侯,平,,流,婁,1
來,開,一,侯,平,,流,僂,2
來,合,三,虞,平,,遇,蔞,2
來,開,一,侯,平,,流,蔞,2
來,合,三,虞,上,,遇,蔞,2
來,開,一,侯,平,來,流,螻,2
來,開,一,模,上,,遇,擼,2
來,開,一,模,平,來,遇,轤,2
