id,聲,呼,等,韻,調,組,攝,單字,多音,组词,原註,罕度
8176,並,開,二,肴,平,幫,效,炰,0,炰烋,,3
8177,並,開,二,肴,平,幫,效,匏,0,匏瓜,,2
8178,並,開,二,肴,平,,效,鞄,0,鞄人,,3
8179,滂,開,二,肴,去,幫,效,礮,0,礮臺(炮台),,3
8180,並,開,二,肴,去,,效,疱,0,疱疹,,2
8181,滂,開,二,肴,去,,效,疱,0,水疱,,2
8182,並,開,一,泰,去,幫,蟹,旆,0,旌旆,,2
8183,滂,開,一,泰,去,幫,蟹,霈,0,霈霖,,2
8184,並,合,三,文,平,,臻,濆,0,河濆,,3
8185,並,開,一,東,平,,通,芃,0,芃芃,,3
8186,並,開,三,東,平,,通,芃,0,,,3
8187,,,,,,,,塳,0,,,3
8188,幫,開,一,唐,去,,宕,搒,0,,,3
8189,並,開,二,庚,平,,梗,搒,0,,,3
8190,並,開,一,東,平,幫,通,髼,0,髼鬆,,3
8191,並,開,一,登,平,幫,曾,鬅,0,鬅鬆,,3
8192,並,開,二,庚,平,,梗,蟛,0,蟛蜞,,2
8193,滂,開,三,脂B,平,幫,止,伾,0,伾伾,,3
8194,滂,開,三,脂A,平,,止,紕,0,紕繆(纰缪),,2
8195,滂,開,三,脂B,平,幫,止,豾,0,,,3
8196,滂,開,三,脂B,平,幫,止,駓,0,駓駓,,3
8197,,,,,,,,㓟,0,,,3
8198,並,開,三,脂A,平,幫,止,蚍,0,蚍蜉,,2
8199,並,開,三,支A,平,幫,止,陴,0,城陴,,3
8200,並,開,三,支A,平,幫,止,埤,0,埤堄,,2
8201,幫,開,三,支B,平,幫,止,羆,0,熊羆(熊罴),,2
8202,並,開,三,脂A,平,,止,膍,0,膍胃,,3
8203,,,,,,,,𥀷,0,,,3
8204,滂,開,三,支A,上,,止,仳,0,仳離,,3
8205,,,,,,,,鴄,0,,,3
8206,並,開,三,昔,入,,梗,擗,0,擗踊,,3
8207,,,,,,,,擗,0,,,3
8208,並,開,四,青,入,幫,梗,甓,0,甓磚,,3
8209,並,開,三,仙A,上,,山,諞,0,諞言(谝言),,2
8210,並,開,三,仙B,上,,山,諞,0,諞佞(谝佞),,2
8211,並,開,三,仙A,平,,山,諞,0,諞口(谝口),,2
8212,滂,開,三,宵A,平,,效,螵,0,螵蛸,,2
8213,並,開,三,宵A,平,,通,螵,0,螵蛸,,2
8214,並,開,三,宵A,平,幫,效,薸,0,浮薸,,3
8215,並,開,三,宵B,上,,效,殍,0,餓殍(饿殍),,2
8216,滂,合,三,虞,平,,遇,殍,0,殍殣,,2
8217,並,開,三,旨B,上,,止,殍,0,流殍,,2
8218,匣,開,二,山,平,影,山,瞯,0,,,3
8219,滂,開,四,屑,入,,山,丿,0,,,3
8220,以,開,三,祭A,去,,蟹,丿,0,,,3
8221,並,開,三,真A,平,幫,臻,㰋,0,,,3
8222,並,開,三,眞A,平,,臻,蠙,0,蠙珠,,3
8223,並,開,四,先,平,,山,蠙,0,,,3
8224,滂,開,三,清,去,,梗,娉,0,娉婷,,2
8225,,,,,,,,娉,0,娉娉,,2
8226,明,開,四,錫,入,,梗,冖,0,,,3
8227,並,開,三,庚,平,幫,梗,苹,0,蘋果(苹果),,0
8228,並,開,三,蒸,平,,曾,凭,0,憑證(凭证),,0
8229,並,開,三,蒸,去,,曾,凭,0,凭借,,0
8230,並,開,三,庚,平,幫,梗,泙,0,泙泙,,3
8231,並,開,三,庚,平,,梗,枰,0,棋枰,,2
8232,,,,,,,,帲,0,,,3
8233,並,開,四,青,平,,梗,簈,0,,,3
8234,滂,開,一,屋,入,,通,攴,0,,,3
8235,滂,開,二,覺,入,,江,攴,0,,,3
8236,滂,開,一,歌,平,幫,果,𨸭,0,,,3
8237,並,開,一,歌,平,幫,果,蔢,0,,,3
8238,並,合,一,戈,平,,果,皤,0,皤皤,,2
8239,幫,合,一,戈,平,,果,皤,0,皤然,,2
8240,,,,,,,,尀,0,,,3
8241,並,開,一,侯,平,,流,抔,0,一抔,,2
8242,滂,合,一,灰,平,,蟹,抔,0,抔土,,2
8243,幫,開,一,侯,上,,流,掊,0,掊擊(掊击),,2
8244,並,開,一,侯,平,幫,流,裒,0,裒輯(裒辑),,2
8245,滂,開,一,東,入,幫,通,扑,0,撲滅(扑灭),,0
8246,滂,開,一,模,平,,遇,痡,0,痡瘏,,3
8247,滂,合,三,虞,平,,遇,痡,0,,,3
8248,滂,開,一,模,平,幫,遇,𨁏,0,,,3
8249,幫,開,一,模,平,,遇,鯆,0,,,3
8250,滂,開,一,模,平,,遇,鯆,0,,,3
8251,幫,合,三,虞,上,,遇,鯆,0,,,3
8252,並,開,一,模,平,幫,遇,酺,0,大酺,,3
8253,,,,,,,,潽,0,,,3
8254,,,,,,,,恓,0,恓惶,,2
8255,清,開,四,青,入,精,梗,慼,0,憂慼(忧戚),,0
8256,溪,開,三,之,平,見,止,僛,0,,,3
8257,清,開,四,齊,平,,蟹,緀,0,,,3
8258,清,開,四,青,入,精,梗,鏚,0,,,3
8259,群,開,三,支A,平,見,止,疧,0,,,3
8260,群,開,三,微,平,見,止,旂,0,旂幟(旗帜),,0
8261,,,,,,,,埼,0,,,3
8262,見,開,三,之,平,,止,萁,0,豆萁,,2
8263,羣,開,三,之,平,,止,萁,0,萁草,,2
8264,群,開,三,支A,平,見,止,軝,0,,,3
8265,溪,合,三,支B,上,,止,跂,0,跂望,,3
8266,群,開,三,之,平,見,止,騏,0,騏驥(骐骥),,2
8267,羣,開,三,支B,平,,止,碕,0,碕碕,,3
8268,溪,開,三,支B,平,,止,碕,0,,,3
8269,,,,,,,,錡,0,鼎錡(鼎锜),,2
8270,羣,開,三,之,平,,止,蜞,0,蟛蜞,,2
8271,群,開,三,之,平,見,止,藄,0,,,3
8272,從,開,四,齊,去,,蟹,懠,0,,,3
8273,羣,開,三,之,平,,止,鶀,0,,,3
8274,群,開,三,脂A,平,見,止,鬐,0,,,3
8275,羣,開,三,微,平,,止,魕,0,,,3
8276,見,開,三,微,上,,止,魕,0,,,3
8277,溪,開,三,之,上,見,止,芑,0,芑草,,2
8278,溪,開,三,之,上,見,止,屺,0,屺山,,2
8279,,,,,,,,𨀣,0,,,3
8280,溪,開,三,支B,上,見,止,婍,0,,,3
8281,溪,開,四,齊,上,見,蟹,棨,0,棨戟,,3
8282,溪,開,四,齊,上,見,蟹,綮,0,肯綮,,2
8283,溪,開,三,侵B,入,見,深,湆,0,,,3
8284,溪,開,四,齊,去,,蟹,蟿,0,,,3
8285,溪,開,三,脂A,去,,止,蟿,0,,,3
8286,溪,開,二,山,入,見,山,㓤,0,,,3
8287,清,開,三,仙A,平,精,山,韆,0,韆鞦(千秋),,0
8288,清,開,四,先,平,,山,芊,0,芊芊,,2
8289,清,開,四,先,去,,山,芊,0,芊綿(芊绵),,2
8290,溪,開,四,先,平,,山,汧,0,汧水,,3
8291,溪,開,二,山,平,見,山,慳,0,慳吝(悭吝),,2
8292,溪,開,二,耕,平,見,梗,摼,0,,,3
8293,,,,,,,,搴,0,搴旗,,2
8294,見,開,三,仙B,上,,山,搴,0,搴取,,2
8295,清,開,三,鹽A,平,精,咸,𠠃,0,,,3
8296,溪,開,三,仙B,平,見,山,褰,0,褰裳,,2
8297,,,,,,,,𩬚,0,,,3
8298,羣,開,三,仙B,平,,山,騝,0,,,3
8299,溪,開,三,嚴,上,見,咸,凵,0,,,3
8300,溪,開,三,仙A,上,,山,繾,0,繾綣(缱绻),,2
8301,溪,開,三,仙A,去,,山,繾,0,繾綣(缱绻),,2
8302,溪,開,三,仙A,上,見,山,䭤,0,,,3
8303,清,開,三,鹽A,去,,咸,槧,0,槧本(椠本),,2
8304,清,開,四,先,去,精,山,蒨,0,蒨蒨,,3
8305,溪,開,四,添,上,,咸,慊,0,慊慊,,2
8306,,,,,,,,慊,0,慊意,,2
8307,清,開,三,陽,平,精,宕,瑲,0,瑲瑲,,3
8308,清,開,三,陽,平,精,宕,斨,0,,,3
8309,溪,開,三,陽,平,見,宕,蜣,0,蜣螂,,2
8310,,,,,,,,蔃,0,,,3
8311,從,開,三,陽,平,,宕,樯,0,桅檣(桅樯),,2
8312,見,開,三,陽,上,見,宕,鏹,0,鏹水(镪水),,2
8313,溪,開,二,肴,平,,效,磽,0,磽瘠(硗瘠),,2
8314,見,開,三,藥,入,,宕,蹻,0,蹻足,,3
8315,見,開,三,宵B,上,,效,蹻,0,,,3
8316,群,開,三,宵A,平,見,效,荍,0,,,3
8317,從,開,三,宵A,平,精,效,譙,0,譙樓(谯楼),,2
8318,清,開,三,宵A,上,,效,愀,0,愀然,,2
8319,溪,開,三,仙B,入,見,山,朅,0,朅來,,3
8320,溪,開,四,怗,入,,咸,箧,0,書箧(书箧),,2
