id,單字,组词,原註,罕度
1699,鬢,鬢角(鬓角),,1
1703,卒,士卒,士卒,1
1704,卒,倉卒(仓卒),倉卒,1
1705,唧,唧唧,,1
1706,柒,柒,,1
1713,恤,體恤(体恤),,1
1714,蟋,蟋蟀,,1
1726,壹,壹,,1
1728,逸,安逸,,1
1729,溢,溢出,,1
1737,紉,縫紉(缝纫),,1
1750,彬,彬彬有禮(彬彬有礼),,1
1753,閩,閩南(闽南),,1
1754,隕,隕石(陨石),,1
1755,憫,憐憫(怜悯),,1
1757,窘,窘迫,,1
1764,茁,茁壯(茁壮),,1
1765,窒,窒息,,1
1769,蟀,蟋蟀,,1
1774,瑟,瑟瑟,,1
1775,蝨,蝨子(虱子),,1
1785,墩,土墩,,1
1787,臀,臀部,,1
1798,坤,乾坤,,1
1821,鈍,遲鈍(迟钝),,1
1824,遜,謙遜(谦逊),,1
1829,凸,凸顯(凸显),,1
1835,窟,窟窿,,1
1840,渤,渤海,,1
1841,勃,勃發(勃发),,1
1847,殷,殷切,殷切,1
1848,殷,殷紅(殷红),殷紅,1
1860,屹,屹立,,1
1861,迄,迄今,,1
1866,燻,燻製(熏制),,1
1867,勛,功勛(功勋),,1
1868,蘊,蘊含(蕴含),,1
1877,焚,焚燒(焚烧),,1
1879,頒,頒布(颁布),,1
1880,氛,氛圍(氛围),,1
1888,醞,醞釀(酝酿),,1
1892,吻,親吻(亲吻),,1
1893,忿,忿怒,,1
1903,紊,紊亂(紊乱),,1
1906,鬱,鬱悶(郁闷),,1
1912,拂,拂曉(拂晓),,1
1915,倔,倔強(倔强),,1
1929,檀,檀木,,1
1936,巒,山巒(山峦),,1
1938,瀾,波瀾(波澜),,1
1946,珊,珊瑚,,1
1949,棺,棺材,,1
1972,翰,翰林,,1
1976,韓,韓國(韩国),,1
1985,蔓,藤蔓,藤蔓,1
1986,蔓,蔓菁,蔓菁,1
1989,曼,曼妙,,1
1991,潘,潘,,1
1997,瘓,癱瘓(瘫痪),,1
1999,袒,袒護(袒护),,1
2046,煥,煥發(焕发),,1
2048,悍,強悍(强悍),,1
2052,腕,手腕,,1
2053,惋,惋惜,,1
2056,絆,牽絆(牵绊),,1
2058,畔,河畔,,1
2060,幔,帷幔,,1
2068,捺,按捺,,1
2069,撮,一小撮,,1
2070,薩,菩薩(菩萨),,1
2078,豁,豁達(豁达),,1
2079,褐,褐色,,1
2080,遏,遏制,,1
2082,跋,跋涉,,1
2092,軒,軒昂(轩昂),,1
2093,喧,喧嘩(喧哗),,1
2095,鴛,鴛鴦(鸳鸯),,1
2100,宛,宛如,宛然,1
2101,宛,大宛,大宛,1
2105,轅,轅門(辕门),,1
2106,猿,猿猴,,1
2107,袁,袁,,1
2110,樊,樊,,1
2119,堰,堤堰,,1
2122,婉,婉轉(婉转),,1
2146,粵,粵語(粤语),,1
2153,筏,竹筏,,1
2173,撰,撰寫(撰写),,1
2176,柵,木柵(木栅),木柵,1
2177,柵,柵極(栅极),柵極,1
2179,澗,山澗(山涧),,1
2189,帕,手帕,,1
2198,棧,棧道(栈道),,1
2204,綻,綻放(绽放),,1
2213,煞,煞車(刹车),,1
2215,楔,楔子,,1
2221,捌,捌,,1
2235,痊,痊愈,,1
2245,氈,氈子(毡子),,1
2248,蟬,蟬聯(蝉联),,1
2262,蜒,蜿蜒,,1
2274,翩,翩翩,,1
2287,闡,闡述(阐述),,1
2293,衍,衍生,,1
2295,緬,緬懷(缅怀),,1
2303,擅,擅長(擅长),,1
2306,譴,譴責(谴责),,1
2314,薛,薛,,1
2316,拙,拙劣,,1
2326,栓,門栓(门栓),,1
2345,冕,加冕,,1
2349,碾,碾壓(碾压),,1
2350,眷,眷屬(眷属),,1
2352,諺,諺語(谚语),,1
2357,吶,吶喊(呐喊),,1
2359,轍,車轍(车辙),,1
2362,澈,清澈,,1
2372,佃,佃作,佃作,1
2373,佃,佃農(佃农),佃農,1
2380,濺,濺濺(溅溅),濺濺,1
2381,濺,飛濺(飞溅),飛濺,1
2390,鵑,杜鵑(杜鹃),,1
2401,玄,玄妙,,1
2404,淵,深淵(深渊),,1
2410,蝙,蝙蝠,,1
2422,匾,匾額(匾额),,1
2426,奠,奠基,,1
2429,甸,伊甸園(伊甸园),,1
2430,澱,澱粉(淀粉),,1
2438,硯,硯台(砚台),,1
2440,炫,炫耀,,1
2455,訣,口訣(口诀),,1
2468,癟,癟三(瘪三),,1
2494,曹,曹,,1
2495,搔,搔癢(搔痒),,1
2496,騷,騷擾(骚扰),,1
2499,羔,羊羔,,1
2500,篙,竹篙,,1
2502,熬,熬夜,,1
2508,蒿,蒿草,,1
2513,褒,褒揚(褒扬),,1
2517,擣,擣衣(捣衣),,1
2521,禱,禱告(祷告),,1
2528,潦,流潦,流潦,1
2529,潦,潦倒,潦倒,1
2532,藻,水藻,,1
2533,蚤,跳蚤,,1
2549,懊,懊悔,,1
2562,糙,粗糙,,1
2563,噪,噪音,,1
2569,澳,澳洲,,1
2574,瀑,瀑布,,1
2578,嘲,嘲笑,,1
2580,嘮,嘮叨(唠叨),,1
2584,巢,巢穴,,1
2595,哮,哮喘,,1
2596,餚,佳餚(佳肴),,1
2597,淆,混淆,,1
2598,肴,菜肴,,1
2600,苞,花苞,,1
2606,咆,咆哮,,1
2630,酵,發酵(发酵),,1
2631,窖,地窖,,1
2639,豹,獵豹(猎豹),,1
2643,燎,燎原,,1
2647,憔,憔悴,,1
2655,硝,硝石,,1
2656,昭,昭示,,1
2662,蹺,蹺蹺板(跷跷板),,1
2673,姚,姚,,1
2676,瓢,水瓢,,1
2681,翹,翹首(翘首),翹首,1
2682,翹,翹起(翘起),翹起,1
2685,沼,沼澤(沼泽),,1
2692,渺,渺茫,,1
2696,峭,峭壁,,1
2697,俏,俊俏,,1
2698,肖,生肖,,1
2715,囂,喧囂(喧嚣),,1
2717,夭,夭折,,1
2727,矯,矯正(矫正),,1
2732,刁,刁難(刁难),,1
2744,聊,聊天,,1
2745,撩,撩撥(撩拨),,1
2746,嘹,嘹亮,,1
