聲紐,呼,等,韻部,聲調,組,攝,單字
清,開,一,東,平,精,通,驄
清,開,一,東,平,精,通,璁
從,合,一,冬,平,精,通,悰
從/從/章,開/開/開,一/一/三,東/冬/東,平/平/平,,通/通/通,潨
從,開,一,模,平,精,遇,殂
清,開,一,侯,去,,流,蔟
清,開,一,屋,入,,通,蔟
精,開,三,屋,入,,通,踧
精,開,三,東,入,精,通,顣
生,合,三,脂B,平,莊,止,榱
清,合,一,灰,上,精,蟹,漼
清/初,合/合,三/三,祭A/祭B,去/去,,蟹/蟹,毳
清,合,一,灰,去,精,蟹,焠
定,合,一,魂,平,,臻,邨
,,,,,,,邨
,,,,,,,膥
從,開,四,先,去,精,山,洊
清,開,一,歌,平,,果,瑳
初/從,開/開,三/一,支B/歌,平/平,,止/果,嵯
初,合,三,脂B,去,,止,㿷
清,合,一,戈,上,,果,脞
清,合,一,歌,去,精,果,剉
端,開,一,寒,入,端,山,妲
定,開,一,寒,入,端,山,薘
端,開,一,寒,入,端,山,炟
端,開,一,曷,入,,山,笪
端,開,一,寒,上,,山,笪
,,,,,,,鞑
,,,,,,,繨
定/定,開/開,一/一,咍/沃,去/入,,蟹/通,瑇
定,開,一,咍,去,,蟹,靆
端,開,一,泰,去,端,蟹,艜
定,開,一,咍,去,,蟹,靆
,,,,,,,卩
端,開,一,寒,上,端,山,担
透,開,一,談,平,端,咸,聃
端,開,一,覃,平,端,咸,酖
定,開,一,寒,平,,山,癉
端,開,一,寒,平,,山,癉
端,開,一,談,平,端,咸,儋
端,開,一,談,上,端,咸,紞
端,開,一,寒,上,端,山,亶
,,,,,,,沊
,,,,,,,訑
,,,,,,,疍
定,開,一,覃,上,端,咸,萏
定,開,一,談,上,,咸,啗
定,開,一,談,去,,咸,啗
定,開,一,覃,上,端,咸,窞
定,開,一,覃,上,端,咸,髧
定,開,一,談,上,端,咸,噉
定/定,開/開,一/一,寒/寒,去/上,,山/山,僤
,,,,,,,餤
定,開,一,談,平,,咸,餤
定,開,一,覃,上,端,咸,禫
端,開,一,唐,平,端,宕,璫
端,開,一,唐,上,端,宕,讜
端,開,一,豪,平,端,效,忉
端,開,一,豪,平,端,效,舠
定/定,開/開,一/一,豪/豪,去/平,,效/效,翿
定/定,開/開,一/一,豪/沃,去/入,,效/通,纛
端,開,一,登,入,端,曾,淂
,,,,,,,灯
端,開,一,登,平,端,曾,䔲
端,開,一,登,平,端,曾,簦
端,開,四,齊,平,端,蟹,羝
端,開,四,齊,平,,蟹,隄
端,開,四,齊,平,端,蟹,磾
端,開,四,齊,平,端,蟹,鞮
端,開,四,青,入,端,梗,靮
定,開,四,青,入,端,梗,覿
端,開,四,青,入,端,梗,鏑
澄,開,三,屋,入,,通,篴
定,開,四,錫,入,,梗,篴
端,開,四,齊,平,,蟹,氐
澄,開,三,脂B,平,,止,坻
端,開,四,齊,上,,蟹,弤
端,開,四,齊,上,端,蟹,軧
定,開,四,齊,去,端,蟹,杕
徹,開,三,祭B,去,,蟹,揥
定,開,四,齊,去,端,蟹,禘
端,開,四,齊,去,端,蟹,螮
端,開,四,青,入,端,梗,甋
端,開,四,先,平,端,山,瘨
端,開,四,先,平,端,山,蹎
端,開,四,先,平,,山,巓
端,開,四,先,平,端,山,𩥄
知,合,三,虞,上,知,遇,丶
以,開,三,鹽A,平,以,咸,阽
端,開,四,添,去,,咸,坫
知,開,三,侵B,平,,深,坫
定,開,四,先,去,端,山,淀
,,,,,,,蜔
端,開,四,蕭,平,端,效,彫
端,開,四,蕭,平,端,效,琱
端,開,四,錫,入,,梗,扚
端,開,四,蕭,去,端,效,窵
,,,,,,,𥾯
,,,,,,,銚
,,,,,,,罀
定,開,四,先,入,端,山,垤
定,開,四,先,入,端,山,絰
定,開,四,先,入,端,山,瓞
定,開,四,怗,入,,咸,揲
明,開,一,豪,去,,效,耄
定,開,四,先,入,端,山,耋
,,,,,,,艓
透,開,一,談,入,端,咸,鰈
,,,,,,,哋
端,開,四,青,平,,梗,玎
端,開,四,青,去,端,梗,矴
端/端,開/開,一/一,東/東,平/上,,通/通,蝀
,,,,,,,垌
定/定,開/開,一/一,東/東,上/平,,通/通,挏
,,,,,,,㨮
端,開,一,侯,上,,流,枓
章,合,三,虞,上,,遇,枓
端,開,一,侯,去,,流,鬭
端,開,一,東,入,端,通,剢
定,開,一,東,入,端,通,櫝
定,開,一,東,入,端,通,匵
,,,,,,,騳
定,開,一,東,入,端,通,髑
定/章/常,開/開/開,一/三/三,屋/燭/燭,入/入/入,,通/通/通,韣
定,開,一,東,入,端,通,讟
端,合,一,灰,平,端,蟹,䭔
澄,合,三,脂B,去,知,止,懟
定,合,一,灰,去,,蟹,憝
,,,,,,,憝
透,合,一,魂,上,端,臻,吨
端,合,一,魂,平,,臻,礅
船/邪/徹,合/合/合,三/三/三,諄/諄/諄,上/平/平,,臻/臻/臻,楯
知,合,三,薛B,入,,山,剟
端,合,一,末,入,,山,剟
定,開,一,唐,入,端,宕,剫
端,合,一,歌,上,端,果,埵
定,合,一,歌,上,端,果,嶞
影/影,開/開,一/一,歌/歌,平/上,,果/果,妸
疑,合,一,戈,平,,果,囮
以,開,三,尤,平,,流,囮
疑,開,一,歌,平,見,果,莪
疑,合,一,戈,平,,果,譌
,,,,,,,譌
疑,開,一,寒,入,見,山,𣎴
影,開,二,耕,入,影,梗,戹
影/影,開/開,二/二,麥/佳,入/去,,梗/蟹,阨
影,開,二,麥,入,,梗,呝
疑,開,一,寒,入,見,山,𠱥
疑,開,一,唐,入,見,宕,咢
,,,,,,,讍
,,,,,,,鈪
疑,開,一,模,去,見,遇,遻
影,開,一,寒,入,影,山,頞
疑,開,一,唐,入,見,宕,鰐
日/日,開/開,三/三,之/之,去/平,,止/止,咡
日,開,三,之,平,,止,㖇
日,開,三,之,平,日,止,洏
日,開,三,之,平,日,止,栭
日,開,三,之,平,日,止,鴯
日,開,三,支A,平,,止,唲
日,開,三,之,平,日,止,輀
日,開,三,之,上,日,止,駬
日,開,三,脂A,去,日,止,樲
,,,,,,,沷
,,,,,,,笩
並,合,三,元,平,幫,山,墦
滂/並,合/合,三/三,元/元,平/平,,臻/臻,旛
滂,合,三,元,平,,臻,轓
幫,合,三,元,平,幫,山,籓
並,合,三,元,平,幫,山,膰
滂,合,三,元,平,,臻,繙
並,合,三,元,平,幫,山,蹯
並,合,三,元,平,幫,山,蠜
滂,合,三,凡,去,,咸,汎
滂,合,三,元,去,幫,山,㤆
幫,合,三,陽,平,,宕,邡
幫,合,三,陽,平,幫,宕,枋
幫,開,二,庚,平,幫,梗,祊
幫,合,三,陽,上,幫,宕,昉
滂,合,三,陽,上,幫,宕,髣
滂,合,三,微,平,幫,止,裶
幫,合,三,微,去,幫,止,鯡
,,,,,,,𦄂
滂/幫,合/合,三/三,微/微,平/平,,止/止,騑
並,合,三,微,平,幫,止,淝
溪,合,一,魂,入,見,臻,胐
幫,合,三,微,上,幫,止,棐
幫,合,三,微,上,幫,止,篚
並/滂,合/合,三/三,文/文,平/平,,臻/臻,棻
幫,合,三,文,平,幫,臻,餴
並,合,三,文,平,幫,臻,枌
並,合,三,文,平,幫,臻,棼
並,合,三,文,平,幫,臻,蕡
並,合,三,文,平,,臻,鼢
並,合,三,文,上,,臻,鼢
幫,合,三,文,去,幫,臻,僨
並,合,三,東,平,幫,通,渢
幫,開,三,鍾,平,,通,葑
滂,合,三,東,平,幫,通,酆
並/並,開/開,一/三,東/鍾,上/上,,通/通,唪
滂,開,三,尤,平,,流,紑
幫,合,三,尤,上,幫,流,缶
明/明,合/合,三/三,質B/物,入/入,,臻/臻,沕
幫,合,三,虞,平,幫,遇,玞
,,,,,,,砆
滂,合,三,虞,平,幫,遇,怤
幫,合,三,虞,平,幫,遇,鈇
並,合,三,尤,平,幫,流,芣
幫,合,三,文,入,幫,臻,紱
幫,合,三,文,入,幫,臻,韍
並/並,合/開,三/三,虞/尤,平/平,,遇/遇,枹
幫,開,二,肴,平,,效,枹
幫,合,三,文,入,幫,臻,柫
滂,合,三,虞,平,幫,遇,郛
滂,合,三,物,入,,臻,祓
滂,合,三,虞,平,,遇,莩
並,開,三,宵B,上,,效,莩
滂,合,三,虞,平,,遇,桴
幫,合,三,文,入,幫,臻,紼
幫,合,三,東,入,幫,通,葍
並,合,三,尤,平,幫,流,蜉
並,合,三,虞,平,幫,遇,颫
並,合,三,尤,平,幫,流,粰
幫,合,三,文,入,幫,臻,綍
滂,合,三,物,入,,臻,髴
並,合,三,鍾,入,幫,通,幞
幫,合,三,文,入,幫,臻,黻
幫,合,三,虞,上,,遇,簠
幫,合,三,虞,上,幫,遇,黼
