聲紐,呼,等,韻部,聲調,組,攝,單字
,,,,,,,浠
,,,,,,,淠
,,,,,,,淠
,,,,,,,涫
邪,開,三,魚,上,精,遇,漵
,,,,,,,溆
,,,,,,,潊
,,,,,,,湓
,,,,,,,溘
書,開,三,鹽A,入,章,咸,灄
,,,,,,,漭
並,合,三,虞,上,幫,遇,滏
,,,,,,,瀠
匣,合,一,寒,去,影,山,漶
,,,,,,,澉
心,合,三,脂A,平,精,止,濉
,,,,,,,瀵
泥,開,四,青,去,端,梗,甯
見,開,三,仙B,上,見,山,謇
,,,,,,,怊
疑,合,三,元,平,見,山,沅
知,開,三,魚,平,知,遇,瀦
來,開,三,鍾,入,來,通,逯
,,,,,,,彑
,,,,,,,迮
,,,,,,,濞
,,,,,,,辶
,,,,,,,弳
,,,,,,,艴
,,,,,,,媯
,,,,,,,姗
昌,合,三,虞,平,章,遇,姝
,,,,,,,羼
,,,,,,,胬
,,,,,,,嬡
,,,,,,,姹
,,,,,,,尕
,,,,,,,尜
,,,,,,,騍
,,,,,,,糹
影,合,三,虞,平,影,遇,紆
定,開,一,咍,上,端,蟹,紿
端,合,一,歌,上,端,果,綞
,,,,,,,緔
,,,,,,,驏
心,開,三,之,平,精,止,緦
,,,,,,,縵
,,,,,,,繯
幫,開,三,真B,平,幫,臻,玢
,,,,,,,玨
,,,,,,,瑉
以,開,三,宵A,平,以,效,珧
,,,,,,,巛
明,開,二,麻,去,幫,假,榪
,,,,,,,柃
來,開,一,豪,上,來,效,栳
,,,,,,,栀
,,,,,,,栝
,,,,,,,栝
,,,,,,,欞
,,,,,,,榿
,,,,,,,楱
澄,開,二,肴,去,知,效,棹
,,,,,,,棰
,,,,,,,榀
見,合,三,虞,上,見,遇,榘
曉,合,三,元,去,影,山,楥
見,開,一,豪,平,見,效,槔
心,開,四,先,入,精,山,榍
來,開,三,陽,平,來,宕,椋
,,,,,,,槭
從,開,三,陽,平,精,宕,檣
,,,,,,,樘
崇,開,二,麻,平,莊,假,楂
云,合,三,元,入,影,山,樾
章,開,三,魚,平,章,遇,櫧
以,合,三,仙A,平,以,山,櫞
,,,,,,,檑
,,,,,,,檩
,,,,,,,槭
,,,,,,,殁
,,,,,,,樘
知,開,三,魚,平,知,遇,櫫
,,,,,,,軺
常,合,三,仙A,平,章,山,輇
日,開,三,之,去,日,止,珥
,,,,,,,軎
,,,,,,,檫
,,,,,,,戤
,,,,,,,瓿
,,,,,,,甏
透,合,一,魂,平,端,臻,暾
,,,,,,,賫
透,開,一,談,去,端,咸,賧
,,,,,,,强
日,合,三,祭A,去,日,蟹,枘
,,,,,,,犋
,,,,,,,犏
,,,,,,,强
,,,,,,,毪
心,開,一,覃,平,精,咸,毿
生,合,三,虞,平,莊,遇,毹
,,,,,,,氌
,,,,,,,氆
群,合,三,虞,平,見,遇,氍
,,,,,,,攵
以,開,三,陽,入,以,宕,敫
,,,,,,,肭
,,,,,,,肭
溪,開,四,添,上,見,咸,膁
,,,,,,,胩
,,,,,,,胂
,,,,,,,犛
定,開,一,東,去,端,通,胴
,,,,,,,胲
,,,,,,,胲
見,合,一,寒,上,見,山,脘
影,合,一,魂,入,影,臻,膃
,,,,,,,腭
書,合,三,虞,去,章,遇,腧
,,,,,,,媵
,,,,,,,歙
,,,,,,,歙
,,,,,,,颮
,,,,,,,膣
影,開,三,支B,平,影,止,欹
,,,,,,,炻
,,,,,,,烀
,,,,,,,焐
,,,,,,,焱
,,,,,,,煊
,,,,,,,熗
,,,,,,,灬
,,,,,,,户
,,,,,,,戸
曉,開,四,先,平,影,山,祆
,,,,,,,礻
匣,開,四,齊,去,影,蟹,禊
,,,,,,,牜
溪,開,二,江,入,見,江,愨
,,,,,,,湣
,,,,,,,湣
,,,,,,,肀
,,,,,,,澩
,,,,,,,砘
,,,,,,,砭
,,,,,,,砟
,,,,,,,砼
,,,,,,,砩
匣,開,二,咸,入,影,咸,硤
崇,開,二,夬,去,莊,蟹,砦
,,,,,,,硐
,,,,,,,硌
,,,,,,,硌
,,,,,,,硪
,,,,,,,硪
,,,,,,,碚
昌,開,三,麻,平,章,假,硨
幫,開,四,先,上,幫,山,碥
,,,,,,,砟
清,開,一,寒,入,精,山,礤
,,,,,,,礞
,,,,,,,眢
,,,,,,,砩
,,,,,,,瞵
,,,,,,,𥇲
幫,合,三,元,去,幫,山,畈
影,合,三,元,上,影,山,畹
,,,,,,,罒
,,,,,,,罨
,,,,,,,钅
幫,開,二,刪,上,幫,山,鈑
透,開,一,侯,上,端,流,鈄
,,,,,,,釒
影,開,一,歌,平,影,果,鈳
,,,,,,,鈽
知,開,二,庚,入,知,梗,磔
,,,,,,,鋮
見,開,四,添,入,見,咸,鋏
,,,,,,,銱
透,開,一,唐,去,端,宕,鐋
來,合,三,仙A,入,來,山,鋝
,,,,,,,鋶
,,,,,,,鉲
,,,,,,,鐗
,,,,,,,鐗
,,,,,,,錁
,,,,,,,鍃
,,,,,,,錈
定,開,一,談,平,端,咸,錟
疑,開,一,唐,入,見,宕,鍔
生,開,三,尤,平,莊,流,鎪
,,,,,,,錼
來,開,三,尤,平,來,流,鎦
幫,開,三,真A,平,幫,臻,鑌
,,,,,,,鏍
,,,,,,,鐝
定,合,一,灰,去,端,蟹,鐓
清,合,一,寒,去,精,山,鑹
,,,,,,,鑔
,,,,,,,錆
來,開,三,魚,上,來,遇,穭
滂,合,三,虞,平,幫,遇,稃
,,,,,,,稹
,,,,,,,鴝
並,合,一,魂,入,幫,臻,鵓
,,,,,,,鶓
幫,開,三,支A,平,幫,止,鵯
,,,,,,,鷀
明,開,三,脂B,平,幫,止,鶥
,,,,,,,鷚
影,合,一,唐,入,影,宕,鸌
,,,,,,,𮬭
章,合,三,虞,去,章,遇,疰
匣,開,四,先,平,影,山,痃
影,開,二,麻,上,影,假,瘂
,,,,,,,痦
從,合,一,歌,平,精,果,痤
知,開,三,鍾,入,知,通,瘃
,,,,,,,瘐
,,,,,,,瘛
幫,開,三,宵A,平,幫,效,瘭
,,,,,,,癜
溪,開,二,江,平,見,江,㾤
,,,,,,,臒
並,合,三,元,平,幫,山,袢
,,,,,,,袼
,,,,,,,裉
,,,,,,,褳
端,合,一,寒,入,端,山,裰
,,,,,,,褙
見,開,三,陽,上,見,宕,繈
,,,,,,,繦
日,合,三,虞,平,日,遇,襦
初,開,二,肴,去,莊,效,耖
匣,開,一,覃,入,影,咸,耠
,,,,,,,耮
,,,,,,,耥
,,,,,,,耱
端,開,四,青,上,端,梗,耵
,,,,,,,聹
,,,,,,,頇
日,開,三,鹽A,入,日,咸,顳
明,開,一,寒,平,幫,山,顢
日,合,三,虞,平,日,遇,顬
,,,,,,,虬
,,,,,,,虼
,,,,,,,蚋
清,開,三,之,去,精,止,蚝
以,開,三,尤,平,以,流,蚰
,,,,,,,蚴
,,,,,,,蚴
見,開,四,添,入,見,咸,蛺
,,,,,,,衤
以,開,三,陽,平,以,宕,蛘
明,合,三,尤,平,幫,流,蛑
,,,,,,,蝽
云,合,三,庚,平,影,梗,蠑
,,,,,,,蝻
溪,合,四,齊,平,見,蟹,蝰
,,,,,,,螋
,,,,,,,螅
,,,,,,,蟓
,,,,,,,蟮
來,開,三,鹽A,平,來,咸,蠊
見,開,四,齊,平,見,蟹,笄
,,,,,,,𥫗
莊,開,三,之,上,莊,止,笫
,,,,,,,笸
心,開,四,先,上,精,山,筅
,,,,,,,筻
,,,,,,,筢
精,開,三,清A,平,精,梗,箐
溪,開,四,添,入,見,咸,篋
,,,,,,,箢
,,,,,,,籪
,,,,,,,舭
,,,,,,,舯
澄,開,三,東,入,知,通,舳
,,,,,,,舾
,,,,,,,艉
,,,,,,,艏
,,,,,,,籼
明,開,三,支A,上,幫,止,敉
,,,,,,,糌
,,,,,,,趔
澄,開,三,清B,平,知,梗,酲
,,,,,,,醅
,,,,,,,醵
從,開,一,歌,平,精,果,鹺
溪,開,二,江,平,見,江,跫
,,,,,,,踅
見,開,二,麻,平,見,假,跏
,,,,,,,踣
,,,,,,,踺
,,,,,,,蹁
,,,,,,,蹰
從,開,一,歌,平,精,果,躦
,,,,,,,觫
,,,,,,,鮁
,,,,,,,鮃
透,開,一,咍,平,端,蟹,鮐
群,開,三,真B,入,見,臻,鮚
來,開,四,齊,上,來,蟹,鱺
見,開,四,先,平,見,山,鰹
,,,,,,,鯖
,,,,,,,鯴
莊,開,三,之,平,莊,止,鯔
並,合,三,文,上,幫,臻,鱝
,,,,,,,鰒
透,開,一,談,入,端,咸,鰨
,,,,,,,鰳
,,,,,,,鱈
,,,,,,,韃
溪,開,三,宵B,平,見,效,鞽
精,開,四,先,平,精,山,韉
見,開,三,東,入,見,通,鞫
,,,,,,,鞣
,,,,,,,韝
,,,,,,,骱
,,,,,,,髁
,,,,,,,髭
,,,,,,,麇
,,,,,,,麇
見,合,三,真B,平,見,臻,麏
見,開,三,脂B,上,見,止,麂
來,開,四,齊,平,來,蟹,黧
,,,,,,,黲
,,,,,,,鼹
匣,開,一,談,入,影,咸,熆
,,,,,,,啘
清,開,三,侵A,上,精,深,𦯈
徹,開,三,侵B,上,知,深,䫖
影,開,一,歌,平,影,果,痾
日,開,三,尤,平,日,流,蝚
,,,,,,,垜
,,,,,,,𧊅
,,,,,,,髍
,,,,,,,黟
影,開,一,模,上,影,遇,䛩
定,開,四,齊,去,端,蟹,遰
,,,,,,,𠫾
,,,,,,,䟸
,,,,,,,𡢐
,,,,,,,躈
云,合,三,真B,平,影,臻,囩
云,合,三,文,上,影,臻,抎
疑,開,一,寒,去,見,山,㷳
疑,合,三,元,平,見,山,蒝
,,,,,,,𪐏
徹,開,二,江,去,知,江,𥈄
明,開,四,青,入,幫,梗,幎
,,,,,,,鹶
,,,,,,,𥿪
,,,,,,,霅
,,,,,,,跕
以,開,三,鹽A,入,以,咸,枼
,,,,,,,䬆
,,,,,,,縎
,,,,,,,縎
,,,,,,,𢉥
疑,開,三,真B,去,見,臻,憖
並,開,一,寒,入,幫,山,癹
並,開,二,江,入,幫,江,窇
,,,,,,,𥅻
崇,開,二,江,入,莊,江,丵
,,,,,,,𤺎
溪,合,三,歌,平,見,果,𩨷
溪,合,三,歌,平,見,果,𩨭
,,,,,,,㚊
,,,,,,,㚊
,,,,,,,𠍲
,,,,,,,毁
,,,,,,,蹽
,,,,,,,庉
,,,,,,,錩
,,,,,,,𢷕
,,,,,,,啒
溪,開,三,東,去,見,通,䠻
並,合,三,鍾,平,幫,通,䩼
溪,開,二,江,入,見,江,毃
明,開,三,支A,平,幫,止,㜷
疑,開,三,庚,入,見,梗,𠱘
,,,,,,,㘝
來,開,三,之,平,來,止,剺
,,,,,,,𡿩
明,開,四,先,去,幫,山,麫
滂,合,三,鍾,平,幫,通,峯
,,,,,,,𨶿
明,開,四,先,去,幫,山,麫
滂,開,三,鍾,平,幫,通,峯
,,,,,,,𨶿
